Position,PosSum,Age,TimePlayed,TeamStatus,CategoryN4,CategoryN3,CategoryN2,WinLose,PA%,Shots_PM,ShotsOT_PM,KeyPasses_PM,AerialsWon_PM,Touches_PM,TotalTackles_PM,Interceptions_PM,Clearances_PM,BlockedShots_PM,Fouls_PM,Dribbles_PM,Fouled_PM,Offsides_PM,Disp_PM,UnsTouchesRating_PM,Passes_PM,Crosses_PM,AccCrosses_PM,LB_PM,AccLB_PM,ThB_PM,AccThB_PM
Sub,SUB,37,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,40,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,27,90,2,1,1,1,0,48,0,0,0,0,0.4,0,0,0.033,0,0,0,0,0,0,0,0.278,0,0,0.233,0.089,0,0
DR,DF,30,90,2,1,1,1,0,68.1,0,0,0.022,0,0.778,0.011,0,0.078,0,0.022,0,0,0,0,0.022,0.522,0.067,0.022,0.133,0.022,0,0
DC,DF,30,90,2,1,1,1,0,85.7,0.011,0.011,0,0.067,0.667,0.011,0.011,0.056,0,0,0,0.022,0,0,0,0.544,0,0,0.111,0.067,0,0
DC,DF,27,90,2,1,1,1,0,86.7,0,0,0,0.044,0.6,0.022,0.011,0.033,0,0,0,0,0,0.011,0.011,0.5,0,0,0.067,0.044,0,0
DL,DF,34,90,2,1,1,1,0,76.9,0,0,0,0.078,1.022,0.022,0.033,0.111,0,0.011,0,0.033,0,0,0,0.578,0.022,0,0.122,0.056,0,0
MR,MD,32,90,2,1,1,1,0,87.9,0,0,0.022,0.011,0.567,0.011,0,0,0.011,0.011,0.033,0.011,0,0.033,0.011,0.367,0.022,0.011,0.022,0,0,0
MC,MD,29,90,2,1,1,1,0,85.5,0.011,0,0,0.011,0.856,0,0.011,0,0.011,0,0,0,0,0,0,0.767,0.011,0,0.178,0.133,0,0
MC,MD,30,90,2,1,1,1,0,88.9,0,0,0.011,0.022,0.733,0,0,0,0,0.011,0,0.022,0,0,0,0.7,0.011,0.011,0.056,0.044,0,0
ML,MD,24,68,2,1,1,1,0,88.9,0.022,0,0.011,0,0.689,0.022,0.011,0,0,0.011,0.022,0.011,0,0.067,0.033,0.3,0.1,0,0.022,0.022,0,0
FW,FW,28,76,2,1,1,1,0,61.9,0.044,0.022,0,0.033,0.333,0,0,0,0,0,0.011,0.011,0,0.011,0.022,0.233,0,0,0,0,0,0
FW,FW,30,90,2,1,1,1,0,73.1,0.033,0.011,0.011,0.011,0.5,0.011,0,0.022,0,0.011,0,0.022,0.022,0.022,0.056,0.289,0,0,0.011,0,0,0
Sub,SUB,27,22,2,1,1,1,0,100,0,0,0,0,0.067,0,0,0.011,0,0,0,0,0,0.011,0.022,0.022,0,0,0,0,0,0
Sub,SUB,30,14,2,1,1,1,0,100,0,0,0,0,0.044,0,0,0,0,0.022,0,0,0,0,0.011,0.022,0,0,0,0,0,0
Sub,SUB,35,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,29,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,35,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,26,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,34,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,36,90,1,2,2,1,1,61.1,0,0,0,0,0.244,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.156,0.078,0,0
DC,DF,28,90,1,2,2,1,1,86.1,0.011,0,0,0.033,0.622,0.033,0.033,0.022,0,0.011,0.011,0,0,0,0.011,0.478,0,0,0.078,0.067,0,0
DC,DF,40,90,1,2,2,1,1,76.5,0,0,0,0.011,0.478,0.011,0.044,0.011,0.011,0,0,0.011,0,0,0,0.378,0.011,0.011,0.122,0.067,0,0
DC,DF,32,90,1,2,2,1,1,92.7,0,0,0.011,0.022,0.622,0.033,0,0.044,0,0.011,0,0.011,0,0,0.011,0.456,0,0,0.044,0.033,0,0
DMR,MD,28,83,1,2,2,1,1,76.2,0.011,0,0.011,0.022,0.5,0,0,0,0,0.011,0.011,0,0,0,0.011,0.233,0.089,0.011,0.022,0.011,0,0
DML,MD,30,90,1,2,2,1,1,81,0,0,0,0,0.767,0.056,0.022,0.022,0.011,0,0,0,0,0.022,0,0.467,0.033,0,0.044,0.022,0,0
MC,MD,29,45,1,2,2,1,1,85.7,0,0,0,0,0.367,0.011,0.022,0.011,0,0,0,0.022,0,0.022,0.022,0.233,0.011,0,0.022,0,0,0
MC,MD,38,90,1,2,2,1,1,80.4,0.011,0.011,0.011,0,0.711,0.022,0.011,0.011,0,0.011,0,0.011,0,0.011,0,0.567,0.033,0.011,0.067,0.022,0,0
MC,MD,30,90,1,2,2,1,1,76.9,0.011,0,0.011,0.011,0.589,0,0,0.011,0,0.033,0.056,0.011,0,0,0.011,0.433,0.011,0,0.044,0.011,0,0
FW,FW,30,90,1,2,2,1,1,78.3,0,0,0.011,0.044,0.489,0,0,0.022,0,0.022,0.022,0.022,0.022,0.011,0.089,0.256,0.022,0,0,0,0,0
FW,FW,30,69,1,2,2,1,1,80,0.022,0.011,0,0.056,0.333,0,0,0.011,0,0.022,0,0,0.011,0.011,0.033,0.222,0,0,0.011,0,0.011,0.011
Sub,SUB,32,45,1,2,2,1,1,86.4,0,0,0,0.011,0.333,0.033,0.011,0,0,0.022,0,0.011,0,0,0.011,0.244,0,0,0.044,0.022,0,0
Sub,SUB,30,7,1,2,2,1,1,100,0.011,0,0,0,0.078,0,0,0,0,0,0.011,0,0,0.011,0,0.022,0.011,0,0,0,0,0
Sub,SUB,22,21,1,2,2,1,1,100,0,0,0,0,0.056,0,0,0.011,0,0,0,0,0,0,0.011,0.011,0.011,0,0,0,0,0
Sub,SUB,31,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,37,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,30,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,35,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,27,90,2,0,0,0,0,69,0,0,0,0,0.467,0,0,0.011,0,0,0,0,0,0,0,0.322,0,0,0.144,0.056,0,0
DC,DF,23,90,2,0,0,0,0,96,0,0,0,0.011,0.656,0,0,0.056,0,0,0.011,0.022,0,0,0,0.556,0,0,0.056,0.033,0,0
DC,DF,30,90,2,0,0,0,0,88.8,0,0,0.011,0.022,1.111,0.011,0.011,0.033,0,0,0,0.011,0,0,0.011,0.989,0.011,0,0.144,0.089,0,0
DC,DF,34,90,2,0,0,0,0,89.4,0,0,0,0.044,0.856,0.011,0.022,0.067,0,0.022,0.011,0,0,0,0,0.733,0,0,0.044,0.011,0,0
DMR,MD,27,90,2,0,0,0,0,88.1,0,0,0,0.011,0.822,0.067,0.011,0.011,0,0.011,0.022,0.011,0,0,0,0.467,0.056,0.011,0,0,0,0
DML,MD,29,90,2,0,0,0,0,81.1,0.022,0.011,0,0.022,0.822,0.011,0.022,0.033,0,0,0,0.011,0,0,0.011,0.589,0.044,0,0.111,0.033,0,0
MC,MD,25,90,2,0,0,0,0,92.9,0.011,0,0,0,0.6,0.011,0,0.011,0,0.011,0.022,0.022,0,0.011,0,0.467,0,0,0.011,0.011,0,0
MC,MD,28,76,2,0,0,0,0,90.3,0,0,0.033,0,0.878,0.033,0.022,0,0,0.022,0,0,0,0,0.011,0.8,0,0,0.067,0.056,0.011,0.011
MC,MD,32,66,2,0,0,0,0,86.6,0,0,0.033,0,0.878,0,0.011,0,0,0.022,0,0.011,0,0.022,0.033,0.744,0.044,0.022,0.078,0.056,0.011,0
AMC,MD,29,70,2,0,0,0,0,80.5,0.044,0.044,0,0,0.711,0,0,0,0,0.011,0.078,0.011,0,0.033,0.033,0.456,0.022,0,0.078,0.067,0,0
FW,FW,27,90,2,0,0,0,0,77.8,0.033,0.022,0.011,0.022,0.389,0,0.011,0,0,0.033,0.022,0.022,0.011,0.033,0.044,0.2,0,0,0.022,0.022,0.011,0.011
Sub,SUB,31,14,2,0,0,0,0,80,0,0,0,0.011,0.133,0,0,0,0,0,0,0.011,0,0,0,0.111,0,0,0,0,0,0
Sub,SUB,32,20,2,0,0,0,0,75,0,0,0,0,0.111,0.011,0,0,0,0,0,0,0,0,0,0.089,0.011,0,0,0,0.011,0
Sub,SUB,29,24,2,0,0,0,0,87,0.011,0,0,0,0.289,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0.011,0.011,0,0
Sub,SUB,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,36,90,1,2,2,1,1,50,0,0,0,0,0.333,0,0,0,0,0,0.011,0,0,0,0.011,0.267,0,0,0.211,0.078,0,0
DR,DF,31,90,1,2,2,1,1,81,0,0,0.022,0,0.6,0,0.022,0.033,0,0,0,0,0,0.011,0.011,0.233,0.089,0.033,0.056,0.022,0,0
DC,DF,28,90,1,2,2,1,1,59.5,0.011,0,0.011,0.067,0.667,0.033,0.022,0.056,0.033,0,0.022,0,0,0,0,0.467,0,0,0.1,0.056,0,0
DC,DF,32,90,1,2,2,1,1,81.1,0,0,0,0.044,0.733,0.011,0.011,0.067,0.011,0,0.011,0.011,0,0,0,0.589,0,0,0.189,0.156,0,0
DL,DF,30,90,1,2,2,1,1,79.1,0,0,0.011,0,0.767,0.011,0.011,0,0,0,0.011,0,0,0,0.022,0.478,0.056,0.011,0.044,0,0,0
MC,MD,38,29,1,2,2,1,1,61.1,0,0,0.033,0,0.3,0.011,0.011,0,0,0.011,0,0.011,0,0.011,0,0.2,0.056,0.044,0.067,0.022,0,0
MC,MD,30,90,1,2,2,1,1,86.5,0,0,0.011,0,0.5,0.022,0,0,0,0.011,0,0,0,0.022,0,0.411,0.022,0,0.033,0.022,0,0
MC,MD,21,90,1,2,2,1,1,75,0.033,0,0.011,0.011,0.756,0.022,0.022,0.011,0.011,0.033,0.022,0.033,0,0.011,0.022,0.489,0,0,0.067,0.033,0,0
FWR,FW,30,71,1,2,2,1,1,68.8,0.044,0.011,0.022,0.022,0.367,0,0.011,0,0,0.022,0,0.033,0,0.011,0.033,0.178,0.033,0.022,0,0,0,0
FW,FW,30,90,1,2,2,1,1,69.2,0.044,0.022,0,0.044,0.5,0,0.011,0,0,0.011,0.033,0.011,0.011,0.011,0.044,0.289,0.011,0,0.011,0.011,0,0
FWL,FW,30,90,1,2,2,1,1,69.4,0.067,0.033,0.033,0.078,0.722,0.022,0.011,0.033,0,0.011,0.011,0.011,0.022,0.022,0.056,0.4,0.011,0,0.033,0,0,0
Sub,SUB,32,61,1,2,2,1,1,78.6,0,0,0,0.033,0.456,0.033,0.044,0.033,0,0.011,0,0,0,0,0,0.311,0,0,0.067,0.044,0,0
Sub,SUB,30,19,1,2,2,1,1,83.3,0.022,0,0,0,0.133,0,0,0,0,0,0.011,0,0,0.011,0.011,0.067,0.011,0,0,0,0,0
Sub,SUB,22,0,1,2,2,1,1,0,0,0,0,0,0.011,0,0,0,0,0.011,0,0,0,0,0,0.011,0,0,0,0,0,0
Sub,SUB,29,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,21,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,37,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,40,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,40,90,2,1,1,1,2,36.4,0,0,0,0,0.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR,DF,30,90,2,1,1,1,2,77.8,0,0,0,0.022,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,DF,29,90,2,1,1,1,2,80,0,0,0,0.067,0.656,0,0.033,0.089,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,DF,29,90,2,1,1,1,2,55.6,0,0,0,0.044,0.433,0.011,0,0.078,0.022,0.011,0,0,0,0,0,0,0,0,0,0,0,0
DL,DF,27,90,2,1,1,1,2,68.6,0,0,0,0.022,0.678,0.044,0.011,0.022,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0
MR,MD,23,90,2,1,1,1,2,91.7,0,0,0.033,0,0.6,0.022,0.011,0.011,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0
MC,MD,28,90,2,1,1,1,2,82,0,0,0.011,0.022,0.756,0.011,0.011,0.067,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0
MC,MD,32,90,2,1,1,1,2,74.6,0.011,0,0,0.044,0.733,0.022,0,0.011,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0
ML,MD,28,86,2,1,1,1,2,66.7,0.022,0,0.056,0,0.511,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FW,FW,29,90,2,1,1,1,2,60,0.044,0.011,0,0.122,0.456,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0
FW,FW,27,90,2,1,1,1,2,77.8,0.033,0.011,0,0,0.422,0.022,0.011,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,31,4,2,1,1,1,2,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,23,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,29,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,22,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,33,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,36,90,1,2,2,1,2,55,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.222,0,0,0.178,0.078,0,0
DR,DF,29,90,1,2,2,1,2,66.7,0.033,0,0.011,0.111,0.822,0.033,0.033,0.033,0,0.033,0.011,0,0,0.011,0,0.467,0.044,0.022,0.078,0.044,0,0
DC,DF,28,90,1,2,2,1,2,70.8,0,0,0,0.044,0.4,0.022,0,0.089,0,0,0,0.011,0,0,0,0.267,0.011,0,0.089,0.056,0,0
DC,DF,32,90,1,2,2,1,2,71.8,0.011,0.011,0.011,0.033,0.5,0,0,0.056,0,0.022,0,0,0,0,0,0.433,0,0,0.056,0.022,0,0
DL,DF,30,90,1,2,2,1,2,75,0.011,0,0.011,0.033,0.689,0.011,0,0.033,0,0,0,0,0,0,0,0.444,0.033,0.011,0.067,0.011,0,0
MR,MD,28,87,1,2,2,1,2,75,0.011,0,0.011,0.011,0.678,0,0.011,0,0,0,0.022,0.033,0.011,0.011,0.011,0.311,0.144,0.033,0.033,0.011,0,0
MC,MD,38,90,1,2,2,1,2,74.1,0.022,0,0.011,0.033,0.778,0.033,0,0.022,0,0.033,0.011,0.056,0,0.011,0,0.6,0.011,0.011,0.111,0.044,0,0
MC,MD,30,68,1,2,2,1,2,64,0,0,0.011,0.022,0.378,0.033,0.011,0,0,0.022,0,0,0,0.011,0.011,0.278,0.011,0,0.033,0.022,0,0
ML,MD,35,90,1,2,2,1,2,73.3,0.033,0.011,0.067,0.022,0.756,0,0,0,0,0.011,0.022,0.011,0,0,0.022,0.5,0.133,0.044,0.133,0.078,0,0
FW,FW,30,52,1,2,2,1,2,50,0.022,0,0,0.033,0.178,0,0,0.011,0,0,0,0.011,0,0,0.044,0.089,0,0,0,0,0,0
FW,FW,30,90,1,2,2,1,2,76.9,0.033,0,0,0.033,0.433,0,0.011,0,0,0.033,0,0,0,0.033,0.022,0.289,0.022,0,0.011,0.011,0,0
Sub,SUB,30,3,1,2,2,1,2,100,0,0,0.011,0,0.056,0,0,0,0,0,0.022,0,0,0,0,0.011,0.022,0,0,0,0,0
Sub,SUB,29,22,1,2,2,1,2,78.6,0,0,0,0.022,0.244,0.011,0.022,0,0,0,0,0,0,0.011,0,0.156,0,0,0,0,0,0
Sub,SUB,30,38,1,2,2,1,2,75,0.011,0.011,0,0.022,0.167,0,0,0.011,0,0,0,0.022,0,0.011,0.011,0.044,0.022,0,0,0,0,0
Sub,SUB,32,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,31,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,37,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,40,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,25,90,2,1,1,1,2,45.8,0,0,0,0.011,0.5,0,0,0.022,0,0,0,0.011,0,0,0,0.267,0,0,0.233,0.089,0,0
DC,DF,27,90,2,1,1,1,2,70,0,0,0,0.1,0.611,0.011,0.011,0.078,0.011,0,0.011,0.011,0,0,0.011,0.444,0,0,0.144,0.078,0,0
DC,DF,23,90,2,1,1,1,2,58.8,0,0,0,0.022,0.533,0.022,0.011,0.078,0,0.011,0,0.011,0,0,0.011,0.378,0,0,0.122,0.033,0,0
DC,DF,35,90,2,1,1,1,2,69.2,0.011,0.011,0,0.022,0.467,0.033,0.011,0.078,0,0.022,0,0,0,0,0,0.289,0,0,0.078,0.022,0,0
DMC,DF,30,90,2,1,1,1,2,84.1,0,0,0,0.011,0.644,0.011,0.011,0.022,0.011,0.011,0.011,0.011,0,0.011,0.044,0.489,0.011,0,0.056,0.044,0,0
MR,MD,22,90,2,1,1,1,2,66.7,0,0,0,0.011,0.622,0,0.022,0.044,0.022,0,0,0,0,0,0.011,0.333,0.033,0,0.078,0.022,0,0
MC,MD,30,90,2,1,1,1,2,77.8,0.022,0,0.011,0.022,0.622,0.033,0,0.011,0,0,0,0.011,0,0,0.033,0.4,0.078,0.011,0.056,0.011,0,0
MC,MD,21,87,2,1,1,1,2,80,0.011,0,0,0,0.456,0,0,0,0,0.022,0.011,0.022,0,0.033,0.011,0.333,0,0,0.022,0.011,0,0
ML,MD,30,90,2,1,1,1,2,65,0,0,0.011,0.011,0.811,0.044,0.011,0.044,0,0.022,0,0.022,0,0.011,0,0.444,0.011,0.011,0.067,0.011,0.011,0
FW,FW,30,60,2,1,1,1,2,75,0.011,0,0,0,0.356,0.011,0,0,0,0.033,0,0.022,0.011,0.044,0.033,0.178,0.044,0.011,0,0,0,0
FW,FW,22,60,2,1,1,1,2,40,0,0,0,0.056,0.2,0,0,0.022,0,0.011,0,0.011,0,0.022,0.022,0.111,0.011,0,0,0,0,0
Sub,SUB,21,3,2,1,1,1,2,100,0,0,0,0,0.022,0.011,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0
Sub,SUB,29,30,2,1,1,1,2,66.7,0.022,0.022,0.011,0.022,0.144,0,0,0,0,0,0,0.011,0,0.011,0.022,0.067,0,0,0,0,0,0
Sub,SUB,32,30,2,1,1,1,2,71.4,0,0,0,0,0.133,0,0,0,0,0.011,0,0.011,0,0.011,0,0.078,0.022,0,0.022,0.011,0,0
Sub,SUB,24,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,29,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,37,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,22,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,36,90,1,2,2,1,2,46,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.411,0,0,0.322,0.1,0,0
DR,DF,29,90,1,2,2,1,2,68.6,0.022,0.011,0,0.044,0.678,0,0.011,0.022,0.033,0.011,0,0,0,0.011,0.011,0.389,0,0,0.044,0.022,0,0
DC,DF,28,90,1,2,2,1,2,70.7,0,0,0,0.044,0.678,0.033,0.033,0.1,0,0,0,0,0,0.011,0.011,0.456,0.011,0,0.122,0.056,0,0
DC,DF,32,90,1,2,2,1,2,78.6,0,0,0,0.033,0.7,0.011,0.011,0.144,0,0.022,0,0.011,0,0.011,0.011,0.467,0,0,0.1,0.033,0,0
DL,DF,30,90,1,2,2,1,2,73.7,0,0,0,0.011,0.678,0.011,0.011,0.011,0,0.011,0.011,0,0,0,0.011,0.422,0.022,0,0.111,0.056,0,0
MR,MD,28,80,1,2,2,1,2,80,0,0,0.022,0.011,0.422,0.011,0,0.011,0,0.011,0.022,0,0,0.022,0.011,0.167,0.078,0.011,0.011,0,0,0
MC,MD,29,90,1,2,2,1,2,80,0.011,0,0,0.033,0.856,0.022,0.033,0.011,0,0.011,0.011,0.033,0,0.033,0,0.611,0,0,0.078,0.056,0,0
MC,MD,38,68,1,2,2,1,2,63.3,0.011,0.011,0,0.011,0.4,0,0.011,0.011,0,0.011,0,0.022,0,0,0.011,0.333,0,0,0.056,0.011,0,0
ML,MD,30,56,1,2,2,1,2,50,0.022,0,0.011,0,0.389,0.033,0,0,0,0.011,0,0.011,0,0.022,0.033,0.2,0.011,0,0.011,0.011,0,0
FW,FW,30,90,1,2,2,1,2,52.6,0.022,0,0.011,0.067,0.678,0,0.011,0.011,0,0,0.056,0,0.056,0.056,0.011,0.422,0.022,0,0.022,0.022,0,0
FW,FW,30,90,1,2,2,1,2,69,0,0,0.011,0.044,0.544,0,0,0,0,0.033,0,0.022,0.022,0.033,0.089,0.322,0.022,0,0,0,0,0
Sub,SUB,30,22,1,2,2,1,2,76.9,0,0,0,0,0.156,0.011,0,0,0,0,0,0,0,0,0,0.144,0,0,0.011,0.011,0,0
Sub,SUB,22,10,1,2,2,1,2,66.7,0.011,0,0,0,0.122,0,0,0,0,0,0.022,0,0,0.011,0.011,0.033,0,0,0,0,0,0
Sub,SUB,35,34,1,2,2,1,2,63.6,0.011,0.011,0.022,0,0.244,0.011,0.011,0.011,0.011,0,0,0,0,0,0,0.122,0.033,0.022,0.033,0.011,0,0
Sub,SUB,32,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,31,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,37,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,40,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,30,90,2,2,2,1,0,47.1,0,0,0,0,0.444,0,0,0.011,0,0,0,0,0,0,0,0.378,0,0,0.333,0.133,0,0
DR,DF,25,52,2,2,2,1,0,52.2,0.011,0.011,0.011,0.022,0.456,0,0,0.022,0.011,0.011,0.011,0,0.011,0.011,0,0.256,0.011,0,0.078,0.022,0,0
DC,DF,29,90,2,2,2,1,0,60.7,0,0,0,0.044,0.556,0.044,0.011,0.1,0,0,0,0,0,0,0.011,0.311,0,0,0.067,0.011,0,0
DC,DF,29,90,2,2,2,1,0,64,0,0,0.011,0.078,0.489,0.022,0,0.167,0,0,0,0.011,0,0,0,0.278,0,0,0.056,0.011,0,0
DL,DF,25,90,2,2,2,1,0,84.6,0,0,0,0.033,0.633,0.056,0.033,0.056,0.011,0,0,0.011,0,0,0.022,0.289,0,0,0.022,0,0,0
DMC,DF,30,90,2,2,2,1,0,67.7,0.044,0.011,0.011,0.011,0.478,0,0.011,0.011,0,0.022,0,0.022,0,0,0,0.344,0,0,0.033,0,0,0
DMC,DF,31,90,2,2,2,1,0,76.3,0,0,0,0.011,0.822,0.078,0.011,0.011,0,0.011,0,0.022,0,0.011,0,0.656,0,0,0.067,0.033,0,0
AMR,MD,28,90,2,2,2,1,0,63.3,0,0,0.022,0.022,0.467,0.011,0,0.011,0,0.011,0,0.022,0,0.022,0,0.333,0,0,0.011,0,0,0
AMC,MD,26,76,2,2,2,1,0,50,0.033,0.011,0.022,0,0.511,0.022,0.011,0,0,0.011,0.011,0.011,0,0.022,0.056,0.289,0.033,0.011,0.044,0.011,0.011,0.011
AML,MD,28,88,2,2,2,1,0,70.4,0.044,0.033,0.022,0,0.678,0.067,0,0,0,0.011,0.056,0.011,0,0,0.078,0.3,0.078,0.011,0,0,0,0
FW,FW,25,90,2,2,2,1,0,59.3,0.033,0.011,0.022,0.089,0.456,0,0,0.011,0,0.022,0,0.011,0.033,0.022,0.022,0.3,0,0,0,0,0,0
Sub,SUB,31,14,2,2,2,1,0,80,0,0,0.011,0.033,0.1,0.011,0,0,0,0,0,0,0.011,0.011,0.022,0.056,0,0,0,0,0,0
Sub,SUB,27,2,2,2,2,1,0,25,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0.022,0,0,0
Sub,SUB,27,38,2,2,2,1,0,66.7,0.011,0,0.011,0,0.278,0.011,0,0.022,0,0,0.011,0,0,0,0,0.167,0.011,0,0.056,0.022,0,0
Sub,SUB,23,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,38,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,28,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,24,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,36,90,1,2,2,1,1,38.5,0,0,0,0,0.356,0,0,0,0,0,0,0,0,0,0,0.289,0,0,0.256,0.078,0,0
DR,DF,31,90,1,2,2,1,1,77.8,0,0,0,0.011,0.778,0.011,0,0,0,0,0.011,0.033,0,0.011,0.011,0.4,0.022,0,0.033,0.011,0,0
DC,DF,28,90,1,2,2,1,1,69,0,0,0,0.044,0.411,0.022,0,0,0.033,0,0,0,0.011,0,0.011,0.322,0,0,0.078,0.033,0,0
DC,DF,29,90,1,2,2,1,1,70,0,0,0,0.033,0.489,0,0.033,0.067,0,0,0,0,0,0.011,0,0.333,0.011,0,0.044,0.011,0,0
